mean,std,median,D,xmin,alpha
3.571964316,15.79795582,1,0.007352373,10,2.514171142
3.56042957,15.55832601,1,0.009762538,8,2.591926108
3.520796636,12.34860506,2,0.009951012,7,2.594719918
3.484970737,10.55700496,1,0.005822185,7,2.58653375
3.521506904,15.45664486,1,0.005221294,9,2.58725406
3.484175237,10.36278506,1,0.006472489,9,2.588527871
3.528126598,13.97526861,1,0.012984103,7,2.5862765
3.400164782,10.13200935,1,0.009174561,11,2.644862324
3.494516734,14.45978221,2,0.007381405,7,2.632282729
3.442809251,10.45741784,1,0.005976927,9,2.577715713
3.410193761,9.645120173,1,0.011195442,9,2.658109962
3.541252344,18.46052082,1,0.007907365,7,2.575144282
3.428717541,10.1863436,1,0.00701257,7,2.609766482
3.644013864,16.44340005,1,0.005819435,10,2.516765333
3.528780044,14.86232665,1,0.013457776,15,2.565528559
3.506648105,13.41236256,1,0.011354844,7,2.586052934
3.497869197,11.73064721,1,0.008241268,7,2.596540964
3.412296153,9.9802845,1,0.006929107,7,2.59282925
3.408403887,10.87562009,1,0.008272792,9,2.565706571
3.399653389,9.091677002,1,0.013539071,7,2.602001492
3.405534405,14.44121755,1,0.004974696,8,2.624557854
3.417324848,9.026834809,1,0.005296098,7,2.597541491
3.533609864,12.84910673,1,0.006645956,7,2.576587942
3.472413205,14.9118484,1,0.008181335,7,2.57987196
3.505994659,11.97738061,1,0.008604603,7,2.556929649
3.492698449,14.22680771,1,0.008319571,7,2.57586131
3.430479004,9.820560917,1,0.004853131,7,2.611052328
3.496278198,13.89773251,1,0.008906136,7,2.549087759
3.502216035,10.47525329,1,0.013558759,8,2.56727968
3.709727825,20.95505439,1,0.009474946,8,2.547563118
3.561054605,19.27524125,1,0.006741859,11,2.58253061
3.516222513,15.75310085,1,0.010166765,7,2.588175076
3.441530769,10.16136522,1,0.009318011,7,2.614775759
3.469913063,9.289226129,1,0.009630429,7,2.596971569
3.583470652,18.54344866,2,0.007731426,9,2.593249684
3.450934712,10.76573975,1,0.008586201,7,2.61004231
3.419739758,11.44010653,1,0.006016455,8,2.634704028
3.423660435,10.26145559,1,0.007026489,7,2.63534892
3.563355872,15.44668747,2,0.00748137,7,2.575181983
3.410080118,9.814662557,1,0.008972543,7,2.587460599
3.505170748,14.4771938,1,0.00879806,7,2.579367626
3.583868402,15.21727212,1,0.006109683,9,2.532358851
3.52659242,15.32025363,1,0.006367337,7,2.60477079
3.553951929,15.31332423,1,0.011039715,7,2.60500123
3.516563441,11.97377886,1,0.009138353,7,2.595166291
3.520825047,16.57018593,1,0.011976057,8,2.599423424
3.423319507,10.76222111,1,0.008056228,8,2.622903295
3.749843741,23.73014278,1,0.01236239,13,2.490409879
3.421700097,10.23256432,1,0.008656449,8,2.589637775
3.52539917,10.45135547,1,0.004769546,7,2.537220654
3.527870902,13.54560807,1,0.006814487,8,2.53724993
3.497073697,18.43963373,1,0.010017368,8,2.574240309
3.387806125,8.105392147,1,0.007234013,7,2.574674436
3.509489176,13.59592397,1,0.007519649,7,2.585166918
3.455792943,12.80356903,1,0.008803439,7,2.602514677
3.435962271,9.638681196,1,0.009512604,12,2.574085138
3.472896187,10.13593281,1,0.008166119,7,2.612738396
3.546224217,17.24898329,1,0.010626495,7,2.616905639
3.555400875,16.8935708,1,0.006510063,7,2.586786817
3.446303767,10.66785957,1,0.007560991,7,2.577643952
3.557730553,13.28024734,1,0.009951753,10,2.564192695
3.527075402,13.295485,1,0.007282273,8,2.557085049
3.59264731,13.88027203,1,0.010577363,7,2.548295646
